"﻿Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","24.1049192918087","23.456098917004","23.767641320597","24.2534416295532","23.3269453094893","24.1215919518553","23.4255287714725","21.5487236013604","19.661807287925","19.5214104727292","17.8798444276384","17.286262325045","17.1383462031211","16.6723873758844","16.0921102228181","18.0828529531935","19.612676402133","15.6787044387708","15.9949177621389","16.3196689664379","15.1853482186248","14.3357802955642","13.1266186400506","12.9738027192484","13.7166831034562","14.4817402607762","15.290148146172","13.929212707137","13.5122870743946","13.3739742350727","13.3566991621949","13.3367549992146","13.4926435578886","13.471110915125","13.142301416182","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (constant LCU)","NV.AGR.TOTL.KN","214334541035000","217899992050300","225030894081000","216677551702200","237968387765100","229513175357400","240515138490400","236440337330000","259972314031100","264963945452500","275762168527500","286254781515400","292366983256000","308666187897400","320169983092100","320192762884600","335284375392500","339566976375800","357050467092500","370809461741300","390092556062700","409295921110500","417986411935800","438009849512300","456450215319200","475864500700100","488170406000600","498634493777600","523049054844600","540409479453100","551236013248800","558785739161500","597308573145600","605785371867900","609153163496300","635803717138400","655761837996300","662338175462100","653519040825900","667653902699800","680224559950700","702372566090300","726597339944300","754121727517600","775379735166800","796455162935400","823186802470300","851754906990100","892881809382200","928220427620300","956119700000000","993857300000000","1.0394407E+15","1.0831418E+15","1.1290527E+15","1.1714458E+15","1.2107498E+15","1.2568943E+15","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","1.66349809885182","3.27255726978362","-3.71208691718266","9.82604607428918","-3.55308219175993","4.79360852198035","-1.69419737400965","9.95260663507528","1.92006269590802","4.07535563246502","3.80495012928274","2.13523131674611","5.57491289196915","3.72693726937266","0.00711490573850426","4.71328969834934","1.27730407308322","5.14876060778977","3.85351537580694","5.20027030347275","4.92277146778299","2.12327814108704","4.79045179573335","4.21003450662865","4.25331936086906","2.58601036269681","2.14353177668602","4.8962840260083","3.31908153694262","2.00339450126906","1.36959954198281","6.8940259717269","1.41916575509016","0.555938090418977","4.37501686589566","3.13903808988827","1.0028545555341","-1.33151537430969","2.16288447480228","1.88281042019945","3.25598448565351","3.44899203407752","3.78812115874383","2.81890931841689","2.71807822834913","3.35632698222186","3.47042790701578","4.82849022114034","3.9578159020343","3.00567317304423","3.94695350383429","4.58651357694914","4.20428986473208","4.23867862915085","3.75474944615075","3.35517016664365","3.81123333656549","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (constant 2010 US$)","NV.AGR.TOTL.KD","23578033517.3902","23970253656.6986","24754693935.3265","23835778180.3646","26177892726.5326","25247770681.8882","26458049968.9052","26009798381.1179","28598451300.5667","29147559495.5963","30335426203.2262","31489674041.7643","32162051423.4453","33955057774.5727","35220541477.6103","35223047385.937","36883211649.8231","37354322414.5102","39277607052.2953","40791175679.3045","42912427074.5928","45024907790.754","45980911815.9197","48183605231.7","50212151638.4923","52347834805.6412","53701555238.3625","54852665139.4714","57538407420.5352","59448154077.881","60639135127.7832","61469648444.7557","65707381973.2663","66639878636.7972","67010355105.5482","69942069443.3125","72137577643.9941","72861012627.6489","71890857042.634","73445773228.4115","74828617899.9521","77265026089.6035","79929890684.5618","82957731785.7445","85296235017.4001","87614653411.0096","90555287663.8235","93697943638.1872","98222139684.1666","102109591147.905","105178671736.143","109330025005.519","114344461446.079","119151834049.539","124202297375.638","128865782448.456","133189448736.179","138265609407.2","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (current LCU)","NV.AGR.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","17764747000000","20419660000000","22512900000000","24870910000000","29115970000000","34277940000000","39163900000000","42148700000000","44720820000000","50733120000000","58963400000000","66071500000000","77896200000000","88791800000000","101009500000000","172827500000000","215686800000000","217897915000000","263327850000000","297317180000000","305783500000000","329124600000000","364169300000000","433223400000000","541931500000000","716656200000000","857196800000000","956119700000000","1.0582453E+15","1.1522621E+15","1.2750484E+15","1.4096557E+15","1.555207E+15","1.6713303E+15","1.7858807E+15","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","19537587498.8493","19903367805.3414","20271300483.3766","19391614321.1792","17712060365.8631","20334544102.0924","22125746417.3918","22871971966.6402","22929992151.544","24992669661.8586","28251352199.159","30578040032.3962","34642086869.9597","37907953720.7019","34718566660.8888","17259278072.1929","27458011972.5023","25873156745.548","25663357350.058","31931164039.8671","35651016153.0902","36819570160.3482","37524883325.8488","47298659298.4605","59285800240.6739","73889985655.6822","82502594457.3776","105178671736.143","120660549348.229","122755685289.028","121883103723.842","118805781402.308","116151993490.319","125585306486.462","133465198683.581","",
"Indonesia","IDN","Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1536.97324520626","1555.58905480963","1670.46565835399","1798.73928293291","1926.73106347391","1941.14992400324","2056.63800391353","1806.80003388715","1872.43274161417","1775.87578768318","1858.57155586163","1876.38055672713","1830.76893646903","1997.24419878816","2013.65074702209","2132.00375873812","2224.70065195754","2282.95401854417","2338.41143610373","2432.97667152066","2611.51686999073","2771.34028277196","2927.49850842857","3068.23504952794","3331.68034373327","3481.7490643462","3641.95139405799","",
"Indonesia","IDN","Trade (% of GDP)","NE.TRD.GNFS.ZS","24.0902101486417","24.6756009359711","10.5610066661673","18.4181002243829","25.3171654867877","11.0122311261071","34.8528015194682","25.6428402925218","26.4463204082606","23.841059602649","28.6826347305389","31.062091503268","35.4119193689746","39.5341605709717","50.4183787822189","44.5212576626458","43.0065883478699","43.5701999400338","42.7147630352589","53.6555359183648","52.6540464774445","53.1773002387695","48.6762274326459","56.5592366644233","50.1106199773017","44.7183723110447","41.0095381677863","46.9742478782921","47.2545614222743","49.0818836891175","52.8918614376893","54.8395648805761","57.4274341101528","50.5233858882307","51.877101049475","53.9585900635426","52.264743657148","55.9938588086777","96.1861923602686","62.9439128601924","71.4368759173731","69.7932075256238","59.0794617663723","53.6164937473016","59.761294836691","63.9879358688635","56.6571268148865","54.8292499782075","58.561399631296","45.5121213687054","46.7012738758739","50.1800131841099","49.5828982992628","48.6373726752888","48.0801755855223","41.9376402415299","37.4388944980601","39.5362353587082","",
"Indonesia","IDN","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","-1.02511532547411","-2.55264837268666","-0.224702269492922","-0.280478683620045","-0.813065115301044","-0.45972163644032","-9.33839822728712","-8.09153102146733","-4.70739733867506","-5.813097866078","-2.9940119760479","-2.22222222222222","-2.3794916739702","0.573044688601297","7.57751214045574","0.574253509986158","1.34159193622428","3.41176284934274","1.01951991558955","6.47610958801451","8.29429406962595","2.08358783571177","-3.91815885941582","-1.06842013851197","4.51933724504565","2.83696928235403","-0.0183332536941994","2.17935231527141","2.82875736780179","3.09322563607794","1.71965651860047","1.86295725393954","3.18749290550225","2.98624095521867","1.1457546536717","-1.33426003725737","-0.615639692959397","-0.27537224241424","9.75007677188731","8.08434530752776","10.5177410303677","8.27107066539838","6.29578000930271","7.33881581463063","4.6720943998287","4.14659938713493","5.41230581374649","4.04218699204524","1.0551687034507","2.80611796855043","1.89678799740844","2.47469299365618","-0.394140722908966","-0.790219916568528","-0.748206391649349","0.382718278082514","0.803009205560046","1.20539475661095","",
"Indonesia","IDN","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","71082412749200","69451729298400","60627889103600","65539991837200","74279257617400","80320906314300","80420008433300","72020847799400","80888271107300","89955365086100","108561976176800","122360088166800","147726957737300","186889347486500","172521426720700","135391290772300","157808418533500","193356283427600","174323983044200","145335770222600","89716036543299.9","10099615562600","-65323356386200","-91309927476700","-40185985250900","-86202611193600","-55628642620199.9","-11649541633800","71200920654400","68400494148100","-19122627501399.9","-8358074163799.94","35566163354900","50813253339800","-8372463175900","-107666314213300","-109530539277800","-184782414052500","-23170340177500.1","77155862355100.1","101015781927800","73991587635700","97826174280800.1","137344325687100","51816249779800","48688070558599.7","63002983016700","61688540698800","60996804427900","136578380472210","130198052766930","145446067519680","34764181926500","80246357010050.2","60773181514689.8","141528034124520","155670993358440","188620452199450","",
